다이닝코드@@$^Tech Stacks@@$^Utilities : 서비스 개발 효율을 높이기 위해 사용하는 유틸리티@@$^Amazon AWS@@$^SVN@@$^Google Drive@@$^Google Analytics@@$^DevOps : 빌드, 테스트, 배포, 모니터링@@$^Xcode@@$^Git@@$^GitHub@@$^Business Tools : 사내 협업, 고객 및 외부 채널 관리 툴@@$^InVision@@$^Google Apps@@$^Trello@@$^Slack@@$^Application and Data : 개발 언어, 프레임웍, 라이브러리@@$^Bootstrap@@$^mssql@@$^MySQL@@$^Objective-C@@$^Amazon S3@@$^Amazon EC2@@$^Ruby On Rails@@$^MongoDB@@$^Python@@$^AngularJS@@$^PHP@@$^jQuery
플레이팅@@$^Tech Stacks@@$^Utilities : 서비스 개발 효율을 높이기 위해 사용하는 유틸리티@@$^metabase@@$^Amazon Web Services@@$^Google Analytics@@$^Agile Scrum@@$^Google Drive@@$^DevOps : 빌드, 테스트, 배포, 모니터링@@$^yarn@@$^webpack@@$^npm@@$^Git@@$^GitHub@@$^Business Tools : 사내 협업, 고객 및 외부 채널 관리 툴@@$^Confluence@@$^JIRA@@$^Google Apps@@$^Application and Data : 개발 언어, 프레임웍, 라이브러리@@$^ExpressJS@@$^pm2@@$^graphql@@$^Redux@@$^react-native@@$^express.js@@$^React.js@@$^MongoDB@@$^Amazon S3@@$^Amazon EC2@@$^MySQL@@$^Node.js@@$^JavaScript
@@$^Tech Stacks@@$^Utilities : 서비스 개발 효율을 높이기 위해 사용하는 유틸리티@@$^Business Tools : 사내 협업, 고객 및 외부 채널 관리 툴@@$^Application and Data : 개발 언어, 프레임웍, 라이브러리@@$^JavaScript@@$^Java@@$^MySQL@@$^DevOps : 빌드, 테스트, 배포, 모니터링@@$^Design Tool : 디자인 개발을 위한 제작 툴
헬로프렌즈@@$^Tech Stacks@@$^Utilities : 서비스 개발 효율을 높이기 위해 사용하는 유틸리티@@$^Google Analytics@@$^Google Drive@@$^DevOps : 빌드, 테스트, 배포, 모니터링@@$^GitHub@@$^Jenkins@@$^Business Tools : 사내 협업, 고객 및 외부 채널 관리 툴@@$^Google Apps@@$^Trello@@$^Slack@@$^Application and Data : 개발 언어, 프레임웍, 라이브러리@@$^iOS@@$^JPA@@$^Hibernate@@$^C++@@$^FLEX@@$^.NET@@$^netty@@$^vert.x@@$^Android@@$^spring-boot@@$^spring-framework@@$^MongoDB@@$^Node.js@@$^Java@@$^MySQL@@$^jQuery@@$^Bootstrap@@$^JavaScript
망고플레이트@@$^Tech Stacks@@$^Utilities : 서비스 개발 효율을 높이기 위해 사용하는 유틸리티@@$^Google Drive@@$^Amazon SES@@$^GitHub Pages@@$^Elasticsearch@@$^Amazon CloudFront@@$^Google Analytics@@$^DevOps : 빌드, 테스트, 배포, 모니터링@@$^Chef@@$^Grunt@@$^Docker@@$^Sublime Text@@$^Bower@@$^GitHub@@$^Git@@$^Business Tools : 사내 협업, 고객 및 외부 채널 관리 툴@@$^Confluence@@$^Trello@@$^JANDI@@$^Application and Data : 개발 언어, 프레임웍, 라이브러리@@$^Python@@$^Amazon S3@@$^Amazon EC2@@$^Redis@@$^Ruby On Rails@@$^MySQL@@$^AngularJS@@$^Node.js@@$^JavaScript@@$^nginx@@$^Bootstrap@@$^jQuery
모바일식권솔루션 식권대장@@$^Tech Stacks@@$^Utilities : 서비스 개발 효율을 높이기 위해 사용하는 유틸리티@@$^Postman@@$^GitHub Pages@@$^CloudFlare@@$^Google Drive@@$^Google Analytics@@$^DevOps : 빌드, 테스트, 배포, 모니터링@@$^Jenkins@@$^Git@@$^GitHub@@$^Business Tools : 사내 협업, 고객 및 외부 채널 관리 툴@@$^Confluence@@$^JIRA@@$^Google Apps@@$^Slack@@$^Application and Data : 개발 언어, 프레임웍, 라이브러리@@$^KT uCloud@@$^SpringFramework@@$^MongoDB@@$^Java@@$^Apache HTTP Server@@$^MySQL@@$^AngularJS@@$^JavaScript@@$^nginx@@$^Bootstrap@@$^jQuery
식신@@$^Tech Stacks@@$^Utilities : 서비스 개발 효율을 높이기 위해 사용하는 유틸리티@@$^Dropbox@@$^Google Drive@@$^Google Analytics@@$^DevOps : 빌드, 테스트, 배포, 모니터링@@$^Business Tools : 사내 협업, 고객 및 외부 채널 관리 툴@@$^Google Apps@@$^Slack@@$^JIRA@@$^Application and Data : 개발 언어, 프레임웍, 라이브러리
요기요 & 배달통@@$^Tech Stacks@@$^Utilities : 서비스 개발 효율을 높이기 위해 사용하는 유틸리티@@$^DevOps : 빌드, 테스트, 배포, 모니터링@@$^puppet@@$^Salt@@$^Chef@@$^Git@@$^Ansible@@$^New Relic@@$^Jenkins@@$^Business Tools : 사내 협업, 고객 및 외부 채널 관리 툴@@$^Google Apps@@$^Application and Data : 개발 언어, 프레임웍, 라이브러리@@$^MySQL@@$^Django@@$^Python@@$^Ruby On Rails@@$^Node.js
