코자자@@$^Tech Stacks@@$^Utilities : 서비스 개발 효율을 높이기 위해 사용하는 유틸리티@@$^GitHub Pages@@$^Google Drive@@$^Dropbox@@$^Amazon CloudFront@@$^Google Analytics@@$^DevOps : 빌드, 테스트, 배포, 모니터링@@$^Xcode@@$^Vim@@$^GitHub@@$^Business Tools : 사내 협업, 고객 및 외부 채널 관리 툴@@$^Skype@@$^Basecamp@@$^WordPress@@$^MailChimp@@$^JIRA@@$^Trello@@$^Google Apps@@$^Slack@@$^Application and Data : 개발 언어, 프레임웍, 라이브러리@@$^Amazon S3@@$^Python@@$^Google App Engine@@$^MySQL@@$^PHP@@$^nginx@@$^Bootstrap@@$^jQuery
모두의주차장@@$^Tech Stacks@@$^Utilities : 서비스 개발 효율을 높이기 위해 사용하는 유틸리티@@$^sympli@@$^invison@@$^Sketch@@$^Paw@@$^Postman@@$^Ionic@@$^Dropbox@@$^GitHub@@$^Elasticsearch@@$^logstash@@$^Google Analytics@@$^DevOps : 빌드, 테스트, 배포, 모니터링@@$^whatap@@$^Ansible@@$^Jenkins@@$^Vagrant@@$^GitHub@@$^TestFlight@@$^Grunt@@$^SourceTree@@$^Sublime Text@@$^Docker@@$^Android Studio@@$^Xcode@@$^Business Tools : 사내 협업, 고객 및 외부 채널 관리 툴@@$^tableau@@$^WordPress@@$^Google Apps@@$^Trello@@$^Slack@@$^Application and Data : 개발 언어, 프레임웍, 라이브러리@@$^PHP@@$^digital-ocean@@$^ncloud@@$^google-cloud-platform@@$^Amazon EC2@@$^CodeIgniter@@$^Android SDK@@$^MEAN@@$^Material UI@@$^Bootstrap@@$^ExpressJS@@$^R@@$^Objective-C@@$^Java@@$^JavaScript@@$^Node.js@@$^AngularJS@@$^Amazon S3@@$^MySQL@@$^MongoDB@@$^Amazon RDS@@$^D3.js@@$^jQuery UI@@$^jQuery
해줌@@$^Tech Stacks@@$^Utilities : 서비스 개발 효율을 높이기 위해 사용하는 유틸리티@@$^GitHub Pages@@$^Google Drive@@$^Google Analytics@@$^DevOps : 빌드, 테스트, 배포, 모니터링@@$^Grunt@@$^Jenkins@@$^Bower@@$^Git@@$^GitHub@@$^Business Tools : 사내 협업, 고객 및 외부 채널 관리 툴@@$^JANDI@@$^InVision@@$^Confluence@@$^JIRA@@$^Google Apps@@$^Application and Data : 개발 언어, 프레임웍, 라이브러리@@$^vue.js@@$^TensorFlow@@$^RabbitMQ@@$^Celery@@$^postgis@@$^Django@@$^PostgreSQL@@$^Python@@$^JavaScript@@$^nginx@@$^Bootstrap@@$^jQuery
마타주@@$^Tech Stacks@@$^Utilities : 서비스 개발 효율을 높이기 위해 사용하는 유틸리티@@$^Postman@@$^Google Drive@@$^Google Analytics@@$^DevOps : 빌드, 테스트, 배포, 모니터링@@$^Jenkins@@$^Git@@$^Sentry@@$^GitHub@@$^Business Tools : 사내 협업, 고객 및 외부 채널 관리 툴@@$^JIRA@@$^InVision@@$^Confluence@@$^Trello@@$^Slack@@$^Application and Data : 개발 언어, 프레임웍, 라이브러리@@$^Swift@@$^Amazon S3@@$^Amazon EC2@@$^uWSGI@@$^nginx@@$^MySQL@@$^Redis@@$^Amazon AWS@@$^Kotlin@@$^Java@@$^Flask@@$^Python
럭시@@$^Tech Stacks@@$^Application and Data : 개발 언어, 프레임웍, 라이브러리@@$^Utilities : 서비스 개발 효율을 높이기 위해 사용하는 유틸리티@@$^DevOps : 빌드, 테스트, 배포, 모니터링@@$^Business Tools : 사내 협업, 고객 및 외부 채널 관리 툴@@$^Web@@$^jQuery@@$^JavaScript@@$^Tomcat@@$^MySQL@@$^PHP@@$^Spring@@$^Web Service@@$^SQL Server@@$^iOS & Android App@@$^Android@@$^Node.js@@$^Objective-C@@$^Java@@$^iOS
부릉@@$^Tech Stacks@@$^Application and Data : 개발 언어, 프레임웍, 라이브러리@@$^Objective-C@@$^PHP@@$^Java@@$^akka@@$^Scala@@$^C#@@$^WPF@@$^Utilities : 서비스 개발 효율을 높이기 위해 사용하는 유틸리티@@$^Mode analytics@@$^Mixpanel@@$^Firebase@@$^Google Analytics@@$^DevOps : 빌드, 테스트, 배포, 모니터링@@$^Kibana@@$^logstash@@$^Elasticsearch@@$^GitHub@@$^CircleCI@@$^Git@@$^Business Tools : 사내 협업, 고객 및 외부 채널 관리 툴@@$^Slack@@$^pixate@@$^Sketch@@$^Confluence@@$^InVision@@$^UserVoice@@$^JIRA@@$^Trello@@$^iOS & Android App@@$^Firebase@@$^RxAndroid@@$^Databinding@@$^android-espresso@@$^Java@@$^Objective-C@@$^Web@@$^Redux.js@@$^React.js@@$^AngularJS@@$^TypeScript@@$^JavaScript@@$^서버 스택
poolus@@$^Tech Stacks@@$^Utilities : 서비스 개발 효율을 높이기 위해 사용하는 유틸리티@@$^Postman@@$^Mandrill@@$^Dropbox@@$^Google Drive@@$^Google Analytics@@$^DevOps : 빌드, 테스트, 배포, 모니터링@@$^Business Tools : 사내 협업, 고객 및 외부 채널 관리 툴@@$^GitHub@@$^MailChimp@@$^Trello@@$^Google Apps@@$^Slack@@$^Application and Data : 개발 언어, 프레임웍, 라이브러리@@$^Android@@$^iOS@@$^RabbitMQ@@$^Redis@@$^nginx@@$^Amazon AWS@@$^Amazon S3@@$^Amazon EC2@@$^Git@@$^jQuery@@$^CSS@@$^HTML@@$^MySQL@@$^PHP@@$^Node.js
