엘리마크@@$^ GitHub Google Apps,Slack,Trello, Amazon RDS,Amazon AWS,image-processing,Android,Java,Amazon S3,Amazon EC2,MySQL,Node JS,nginx
어깨 건강 운동 앱@@$^ GitHub,Dropbox,Google Drive ,Xcode,Jenkins,Sublime Text,Bitbucket,Git,GitHub, WordPress,MailChimp,Trello,Slack,JIRA,Google Apps, jQuery,Python,Django,Objective-C,cocos2d-x,Spring,Android,C++,Java,Apache HTTP Server,Amazon S3,Amazon EC2,MongoDB,MySQL,Node.js,JavaScript
닥터키친 홈페이지@@$^ Dropbox,Google Analytics ,Git, Google Apps,Slack, PostgreSQL,Django,Python,JavaScript,Bootstrap,jQuery
Lunit Scope@@$^ Google Drive ,GitHub,GitLab,Xcode,Vim,Git, Trello,Google Apps,Slack, cudnn,CUDA,theano,caffe,TensorFlow,Django,Python,MySQL,JavaScript,Bootstrap,nginx,jQuery
