Amazon DynamoDB,https://aws.amazon.com/ko/dynamodb,"Hosted, scalable database service by Amazon with the data stored in Amazons cloud",Amazon DynamoDB는 Amazon Web Services 포트폴리오의 일부 아마존에서 제공하는 완전히 관리되는 독점 NoSQL 데이터베이스 서비스다. DynamoDB는 유사한 데이터 모델을 노출하고 Dynamo에서 이름을 파생하지만 기본 구현이 다르다. Dynamo에는 클라이언트가 버전 충돌을 해결해야하는 다중 마스터 설계가 있었으며 DynamoDB는 높은 내구성과 가용성을 위해 여러 데이터 센터에서 동기 복제를 사용한다. DynamoDB는 2012년 1월 18일 Amazon CTO인 Werner Vogels에 의해 발표되었다.,,
Couchbase,https://www.couchbase.com,JSON-based document store derived from CouchDB with a Memcached-compatible interface,"카우치베이스 서버(Couchbase Server)는 유연한 JSON 모델로 고정 데이터베이스 스키마의 제약 없이 쉽게 애플리케이션을 수정할 수 있으며, submilisecond (1/1000 ms 이하)의 초고속 데이터 입출력 처리의 높은 성능을 보장한다. 또한, 간편한 스케일 아웃(scale-out)으로 다운타임 없이 시스템 구성 변경 및 확장을 지원한다.",5.0,
Amazon SimpleDB,https://aws.amazon.com/ko/simpledb/, distributed database written in Erlang by Amazon.com. ,"Amazon SimpleDB 는 Amazon.com이 Erlang 로 작성한 분산 데이터베이스 입니다. Amazon EC2 ( Elastic Compute Cloud ) 및 Amazon S3 와 함께 웹 서비스 로 사용되며 Amazon Web Services의 일부입니다. 그것은 2007 년 12 월 13 일에 발표되었습니다.
Amazon은 EC2 및 S3과 마찬가지로 SimpleDB 저장, 전송 및 인터넷 처리량에 대한 요금을 부과합니다. Amazon은 2008 년 12 월 1 일 1GB의 데이터 및 25 시간의 작업 시간에 Free Tier [3] 로 새로운 가격을 발표했습니다. 다른 Amazon Web Services 로의 이전은 무료입니다.",2017,
Amazon RDS,https://aws.amazon.com/ko/rds/,"Amazon Relational Database Service (Amazon RDS) makes it easy to set up, operate, and scale a relational database in the cloud","Amazon Relational Database Service(RDS)를 사용하면 클라우드에서 관계형 데이터베이스를 더욱 간편하게 설정, 운영 및 확장할 수 있습니다. 하드웨어 프로비저닝, 데이터베이스 설정, 패치 및 백업과 같은 시간 소모적인 관리 작업을 자동화하면서 비용 효율적이고 크기 조정 가능한 용량을 제공합니다. 애플리케이션에 집중하여 애플리케이션에 필요한 빠른 성능, 고가용성, 보안 및 호환성을 제공할 수 있도록 지원합니다.",2017,
Amazon RDS for PostgreSQL,https://aws.amazon.com/ko/rds/postgresql/,Amazon Relational Database Service with postgresql,"Amazon RDS는 여러 PostgreSQL 버전을 실행하는 DB 인스턴스를 지원합니다. DB 인스턴스 및 DB 스냅샷, 특정 시점으로 복원 및 백업을 만들 수 있습니다. PostgreSQL을 실행하는 DB 인스턴스는 다중 AZ 배포, 읽기 전용 복제본(버전 9.3.5 이상), 프로비저닝된 IOPS를 지원하며, VPC 내부에서 생성될 수 있습니다. 또한, SSL(Secure Socket Layer)을 사용하여 PostgreSQL을 실행하는 DB 인스턴스에 연결할 수 있습니다.",2017,
Amazon Chime,https://chime.aws/,"communications service that transforms meetings with a secure, easy-to-use application that you can trust","AWS의 신규 통합 커뮤니케이션 서비스를 통해 다양한 온라인 미팅을 보다 쉽고 효과적으로 할 수 있게 만들어졌습니다. Amazon Chime는 한 번의 클릭으로 고품질 사운드와 비디오 회의를 시작할 수 있습니다. 미팅을 시작하면, 채팅, 콘텐츠 공유, 화면 공유가 원활한 환경으로 제공되며, PC,  맥 같은 데스크톱, iOS와 Android 기기에 대응하고 있습니다.",4.9.8491,
